Text link,Student summary,ChatGPT summary,Realness predictions
"https://online.stat.psu.edu/statprogram/ethics

 ","In the article ""Ethics and Statistics"" from the department of statistics in Penn State Eberly College of Science, the author suggests ethics in various perspectives related to statistics. To begin with, the definition of ethics is provided by the author saying that ethics is a set of ethically acceptable guidelines that everyone wants to conform to. Moral literacy is also introduced and all statistician should be aware on that. The author also introduces ethical sensitivity that we could know the categories of harm, fairness, loyalty, respect, and sanctity. Ethical thinking is also important, we should think to ourselves on for example, whether we are proud our ashmed on a specific action. After that, we need to imagine a situation of this ethical problem and see how we can reflect on it. Last but not least, the author explains seven steps we should take for ethical decision making.We should first state the issue, verify all facts, identify the essential components, create a list of potential options, test those options, repeat earlier processes as necessary, and finally review every step.",,"84.59,"
http://www.stat.columbia.edu/~gelman/research/published/ChanceEthics3.pdf,"Instead of being an independent researcher, some physicians choose to become contract researchers. The author was worried since such researchers do not provide research insights but simply sign off the contracts which endorses certain research results produced by the enterprises that employ them. Since there exists no common statistical method to handle all types of data, the author provides three ideas for statistician to contribute for elimination of such issue:

* move towards openness: evaluate all results; do not simply focus on the statistically significant ones.

* Decision analysis: do not stop at reporting confidence intervals

* Question the assumptions that we tends to use in multiple conventional analysis

The author summarises that as statisticians, we should be open and quantitative about the tradeoffs.","Some physicians opt to work as contract researchers instead of being independent. However, the author expresses concern that these researchers do not conduct their own research, but simply approve the results produced by the companies they work for. To address this issue, the author suggests three ways that statisticians can contribute to solving it:

* Embrace openness by evaluating all results, not just those that are statistically significant.

* Use decision analysis to go beyond reporting confidence intervals.

* Challenge the assumptions commonly used in traditional analysis.

The author concludes that statisticians should be transparent and quantitative about the tradeoffs they make.","99.82,52.23"
https://www.analyticsvidhya.com/blog/2022/02/ethics-in-data-science-and-proper-privacy-and-usage-of-data/ ,"Ethics in data science is a focused issue in people's daily life. As humans, we must have a natural sense of what is right and what is wrong. Data science plays a significant role in many fields; thus, ethical considerations are vital for personal privacy and social impact. Furthermore, everyone's personal information is exposed to the applications they use since people live in a digital world. Anyone working with data must be concerned about data science ethics, understand the fundamentals, and report any data theft, unethical data collection, storage, use, etc. Data protection must be maintained at any time. A data scientist must contact a client first and then make decisions. Data collection and analysis must be done with good intentions. Obtaining others' data without their consent is illegal and unethical. Therefore, collecting anyone's data requires approval. Lastly, transparency should be used when acquiring data. The article also includes three real-life examples, which are regarding a case of unethical behavior with data, a case of data theft, and an example of how data is used for a good purpose.",,"99.83,"
https://statmodeling.stat.columbia.edu/2023/01/25/water-treatment-and-child-mortality-a-meta-analysis-and-cost-effectiveness-analysis/,"1. RCTs have shown that the improved water quality can significantly reduce the child mortality rate

2. leading cause of death in children is diarrhea, caused by waterborned diseases

3. chlorinating is a cheap way to cleanse water yet many countries are able to do it

4. it's extremely cost-effective to avert child mortality","The author is a co-author of a meta-analysis of improving water quality in low and middle income countries. The meta-analysis estimates that reducing waterborne diseases by improving water quality reduces the odds of child mortality by 30% based on 15 RCTs. The author points out that this would have very large real-world implications, but there are statistical considerations such as power, publication bias, etc. The author also ties the discussion to effective altruism and finding cost-effective interventions. The author notes that clean water is an important topic as diarrhea caused by waterborne diseases is one of the leading causes of death in children globally, and many people still don't have access to clean water. The author also mentions that the cost-effectiveness of this is on par with the most cost-effective child health interventions such as vaccinations.","99.54%,91.90%"
https://towardsdatascience.com/lessons-from-how-to-lie-with-statistics-57060c0d2f19,"This article discussed the right ways to present and to interpret statistics. The author started by introducing the book ""How to Lie With Statistics"" by Darell Huff and stated that the book is relevant today because small tables, graphs, or a single number are still the most effective techniques. From the book and their experiences, the author gave suggestions to both producers and consumers of statistics whereby the suggestions were sectioned into 10 aspects:

1. be careful when viewing correlations due to potential confounding factors

2. relationships are usually only valid within a limited region

3. axes can easily mislead

4. extremities may occur just due to too small sample sizes

5. more numbers describe a data set better

6. ""average"" has alternative definitions and should be checked

7. a statistic may only be meaningful in comparisons

8. there is always bias in sample selection and it matters

9. we should not assume that claims from authorities are true

10. in general, be skeptical to any single statistic",,"99.89,"
https://globalnews.ca/news/9432503/chatgpt-exams-passing-mba-medical-licence-bar/,"ChatGPT is capable of passing the U.S. Medical Licensing Exam and might even acquire an MBA from an Ivy League business school, according to two distinct study publications. However, the accuracy of ChatGPT on the Multistate Bar Examination, a multiple-choice exam that is part of the U.S. legal license process, was about 50 percent, according to another research. In the near future, ChatGPT will likely be able to pass the U.S. bar exam, as stated by the researchers. ChatGPT has already started to transform our educational philosophy. But, no one can determine with certainty how AI will affect the future of employment. It is certain that humans will have much less market in intelligence and creativity.","According to studies, ChatGPT has the capability to pass the U.S. Medical Licensing Exam and potentially even earn an MBA from an Ivy League business school. However, its accuracy on the Multistate Bar Examination, a multiple-choice exam required for legal licensure in the U.S., was found to be around 50%. Researchers believe that in the future, ChatGPT will be able to pass the bar exam. The impact of AI on employment and the job market is uncertain, but it is likely that AI will significantly reduce the need for human intelligence and creativity in certain fields.","6.87,93.13"
"https://online.hbs.edu/blog/post/types-of-statistical-bias

 

*****************************************************
5 TYPES OF STATISTICAL BIAS TO AVOID IN YOUR ANALYSES
*****************************************************

 

 ","It is important to note that statistics is as much of an art as it is a science with two different statisticians given the same data set and goal can still produce differing results. A large part of this has to due with the fact that a lot of decisions have to be made in analysis and these decisions open the door to many different types of biases which can alter the accuracy and generalizability of results. Following are some types of commonly found biases :

Sampling Bias

 When choosing random sample to collect data from it is important to ensure the sampling group is representative of the population. In most cases it isn't feasible to have a sample population that contained an equal likelihood for all the population to be chosen. This can lead to an unequal representation from all the demographics of the population leading to inaccurate results and a loss of generalizability.  

Bias in Assignment

In many cases studies require multiple distinct groups to be created to be studied. In this case careful consideration has to be put into how these groups are created as bias can be introduced though these groups containing unintended characteristics and features that might impact results. It is important to properly randomize and diversify your groups to avoid these biases. 

Self-Serving Bias and Experimenter Expectations

It is important to understand that statisticians are people as well. In an experiment the researchers expectations and the desire to attain a specific results might introduce bias in an experiment. This can be seen through p hacking and cherry picking data to fit a certain result. In statistics it is important that we follow guidelines to ensure research is reproducible and accurate. 

 ",,"99.98,NA"
https://www.youtube.com/watch?v=het9HFqo1TQ&list=PLoROMvodv4rMiGQp3WXShtMGgzqpfVfbU&index=3&ab_channel=StanfordOnline,"The article is basically listing all the steps that are required to write a good statistical report. The overall steps can be breifly divided into 9 parts which include ""Introduction"", ""The goal of the report"", ""Understanding the intended readers"", ""The major section of the report"", ""Style"", ""Tables and Figures"", ""Writing the First Draft"", ""Rewriting the report"", ""References"". Each of them takes a significant part in a report writing and besides all of these, the writing skills it-self is also as important. There is a whole sections introduce the importance of having good writing skills.","This article outlines the nine key steps to writing a successful statistical report. These steps include: Introduction, The Goal of the Report, Understanding the Intended Readers, The Major Sections of the Report, Style, Tables and Figures, Writing the First Draft, Rewriting the Report, and References. Each of these steps plays an integral part in producing an effective report, but it is also important to possess strong writing skills. A whole section of the article is dedicated to the importance of having good writing skills.","99.98,75.43"
https://slate.com/technology/2018/10/brian-wansink-p-hacking.html,"The article discusses an event that a well-known researcher has been caught for statistical misconducts including p-hacking. While most people focus on the wrong action of manipulating the data itself, the author Andrew Gelman calls for attention to the natural difficulties of many statistical researches. That is, people should not expect a lot of studies will have significant results, and fall into the trap of trying to get important findings no matter what. As statistics researchers, while need to be conscious and careful of not doing morally incorrect things like p-hacking, they also need to focus on designing good statistical models/approaches and be patient even if there aren't great findings.","The article addresses the issue of a prominent researcher being accused of committing statistical misconduct, specifically p-hacking. Andrew Gelman emphasizes that instead of just condemning the misconduct, attention should also be given to the inherent challenges of statistical research. It is unrealistic to expect every study to yield significant results, and researchers must avoid the temptation to manipulate data in pursuit of important findings. As statisticians, it is important to maintain ethical standards and avoid misconduct, but it is also crucial to focus on designing sound statistical methods and to be patient in the absence of groundbreaking results.","99.21,97.95"
"https://www.nature.com/articles/d41586-022-00025-6

 ","This article discussed the importance of reviewing the reliability of data from medical studies and proposed some guidelines of assessing the quality of data for reviewers. In general, it is hard to evaluate the appropriateness of a literature because there is no universal tellable sign of fraud. To ensure the reliability of results from clinical trials, reviewers can check registration, consult the corresponding database, check the plausibility and consistency of claims. Contacting the authors is the most direct and effective way to understand the data. If the author is not reachable, then we can seek help from the journal. It is the responsibility for journals and publishers to check all the materials and detect anomalies in time. ","The article discusses the issue of fake clinical data in the medical research field, and suggests that a collaborative effort from various stakeholders, including researchers, journals, and funding agencies, is needed to effectively address the problem. The article highlights the potential consequences of fake data, such as wasted resources and harm to patients, and notes that current methods for detecting and preventing fake data are not sufficient. The article suggests that a multi-faceted approach, including better training for researchers, stricter guidelines for data sharing and reporting, and increased transparency and accountability, may be necessary to effectively combat the problem of fake clinical data.","98.69,5.92"
"https://youtube.com/watch?v=mtLPd2u4DiA&feature=shares

 ","* Good research not only should be empirical, reproducible, and valid but also should be ethical. Ethics is the moral principle that guides our judgment of right and wrong.

* Different organizations usually have their own code of ethics. Ethical standards will vary by region, discipline, or institution, but there will be common themes that determine what constitutes research ethics. 

* In order to achieve ethical research, there will be committees to decide what is ethical and what is unethical, these committees are made up of people from different backgrounds so they will provide different ethical perspectives. Also, there are different types of committees depending on the person or thing involved in the research. For example, in academia and industry, ethics committees review research proposals, oversee their implementation and follow up on their results, and if they determine that the research is unethical, the committee has the authority to approve, reject, stop or modify the research.

* Then, the video provides some examples of unethical research and points out that unethical research may occur out of a desire for recognition and fame, it may be done to ensure that a project is completed as quickly as possible, it may be done to get a jump on being the first to publish a discovery, or it may be done to climb the academic ladder.

* At the same time, bias and prejudice can lead to ethical violations. Unethical research may have consequences such as public distrust of science, or harm to individuals. That is why it is necessary to take measures to prevent unethical research from happening in the future. 

* Finally, ethics training is important not only to prepare current and future researchers to work in the disciplines they want to work in but also to make new discoveries when researchers have knowledge of ethics.","In summary, ethical research is important in ensuring that studies are conducted in a responsible and just manner. Ethics committees review research proposals and oversee their implementation to ensure that they align with ethical standards. Unethical research can occur due to a desire for recognition or to meet deadlines, and can lead to harm to individuals and a loss of trust in science. Therefore, it is crucial to provide ethics training to researchers to promote ethical conduct in research.","99.92,56.82"
"https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/fedca1/cdi_gale_businessinsightsgauss_A688710549

If the link isn't working, please search for ""Predictably unequal? The effects of machine learning on credit markets"".","* With the innovation in technologies, machine learning models have gained wider applications. One of their applications in a finance context is to predict the probability of default (borrowers failing to repay loans). 

* This paper focuses on whether the more advanced ML models are ""predictably unequal"", e.g. the model has different predictive outcomes for minorities versus the White. The authors investigated two main mechanisms driving this prediction difference 1) model flexibility and 2) triangulation between observable permissible variables and unobserved restricted variables

* The authors illustrate this phenomenon with U.S. mortgage data. By comparing predictions from logistic regression with those from the random forest, authors found that Black and Hispanic borrowers are penalized by the usage of the ML model - they are predicted to have a higher probability of default.",N/A,"99.98,N/A"
http://www.stat.columbia.edu/~gelman/research/published/ChanceEthics2.pdf,"This article mainly focuses on explaining the disconnect between the statistical methods taught in academic statistics classes and the methods used in practice. Based on the authors' arguments, we find that the statistical methods we learn in courses are not appropriately used in real-world situations because real-world data analysis is more complex. It also means that although statisticians often advocate open data and open methods in their research, these principles are not consistently applied in teaching. This results in the majority of students graduating from statistics disciplines not being better equipped to perform real-life data analysis. Therefore, this article argues that statistical practice should be more research-based and more practically focused, and use open data and open methods.","The article discusses the discrepancy between the statistical techniques taught in academia and those utilized in the field. The authors assert that the methods learned in statistics classes are not sufficient for handling real-world data analysis due to its complexity. Additionally, they note that while statisticians often promote transparency in data and methods in their research, these principles are not consistently incorporated into teaching. This leads to students graduating without the necessary skills for practical data analysis. The article argues for a shift towards research-based, practical training that emphasizes open data and open methods.","97.89,7.32"
http://www.stat.columbia.edu/~gelman/research/published/ChanceEthics4.pdf,"It is inevitable that statisticians will work for a variety of organizations. Upholding the code of ethics expected of a statistician is imperative when working for a controversial organization. All while speaking honestly and disclosing our financial interests from controversial organizations. It is important to note that sometimes speaking honestly about statistical findings may involve broader ethical issues and thus leave the field of statistical ethics. In this case, we need a deeper discussion on ethics. The same conflict may appear in other fields, such as journalists, doctors and other professions. It is better to abide by professional ethics than to violate professional ethics to obtain broader ethical support.","Statisticians often work for a diverse range of organizations, and it is crucial for them to uphold the code of ethics expected of their profession, particularly when working for controversial organizations. This includes being transparent about any financial interests and speaking honestly about statistical findings, even if doing so raises broader ethical issues. In these cases, it is important to have a deeper discussion on ethics, as similar conflicts may arise in other professions such as journalism and medicine. Ultimately, it is more important to adhere to professional ethics than to compromise them in order to gain broader ethical support.","99.56,94.09"
"https://www.tandfonline.com/doi/full/10.1080/09332480.2017.1302720?casa_token=tgzmCX10N2QAAAAA%3AV24HNuHm3IwYrEjtDS2IXhr2rE203KwC-1nzzqfwOA1cpC3abvzJ1vsjZSrGddrnibRl_0iqRTkW

 ","There is a significant replicability crisis in statistics in many top scientific journals. Often, due to confidentiality and author choice, many published articles do not present their data and code. This makes it difficult to verify the accuracy of the study. There is also a risk that some authors may falsify their findings through this loophole. 

Many have suggested that honesty and transparency are the solutions to this crisis, but the author of this article, Andrew Gelman, disagrees, arguing that honesty and transparency are not enough. Data quality and design of study are also important. The honesty and transparency of a published article cannot compensate for the errors made by the researcher in the study, which may have been unintentional. So simply requiring honesty and transparency may lead to people associating these inadvertent statistical errors with dishonesty, and thus not being able to learn from them. 

 ","The field of statistics is facing a major problem with replicability in top scientific journals. Many studies do not share their data and code, making it difficult to verify their accuracy and leaving room for potential falsification of findings. Some suggest that increasing honesty and transparency is the solution, but the author of this article argues that this alone is not enough. Ensuring data quality and good study design are also crucial. Requiring honesty and transparency may lead to confusion between intentional dishonesty and unintentional errors, making it difficult to learn from them.

 ","75.80,97.93"
https://www.amstat.org/your-career/ethical-guidelines-for-statistical-practice,"The article Ethical Guidelines for Statistical Practice contains several principles to help statistical practitioners regulate professional conduct. The Statistical Practice includes the activities like collecting the data, processing and analyzing the data, developing algorithm, etc, while statistical practitioners includes all the people that participate in statistical practice. The principles are summarized as follows:

Principle A: Taking responsibilities to one's own work, being honest with the capabilities and activities, respect others.

Principle B: Honestly communicate the potential impacts in their works.

Principle C: Respecting the interests of stakeholders.

Principle D: Never misusing or condoning the misuse of data.

Principle E: Working ethically with members in multidisciplinary teams.

Principle F: Being responsible to the statistical practitioners and profession. Honestly communicate and engage in the work with other practitioners and the profession.

Principle G: Leaders, supervisors and mentors are responsible for following and promoting these ethical guidelines.

Principle H: Statistical practitioners understands that questions may arise concerning potential misconduct related to statistical, scientific, or professional practice. They may be involved in the investigation.","The Ethical Guidelines for Statistical Practice is a set of principles to guide the conduct of statistical practitioners in their work. These principles include taking responsibility for one's own work and being honest about capabilities and activities, honestly communicating the potential impacts of work, respecting the interests of stakeholders, not misusing or condoning the misuse of data, working ethically with members of multidisciplinary teams, being responsible to other practitioners and the profession, and leaders, supervisors, and mentors being responsible for promoting these guidelines. Additionally, statistical practitioners should be aware that questions about potential misconduct may arise and they may be involved in investigations.","99.98,99.97"
http://www.stat.columbia.edu/~gelman/research/published/ChanceEthics8.pdf,"In Andrew German's article ""It’s Too Hard to Publish Criticisms and Obtain Data for Replication"", German pointed out some of the existing problems within the system of publication that discouraged or prevented scientific corrections to published papers. German listed several examples from his own experience to support his claim. The first example was that a paper by y Laura Hamilton, published on several top journals, such as American Sociological Review, made conclusions based on results estimated inappropriately. The estimation was completed based on samples subjected to selection bias, as Hamilton only included samples negatively impacted by the treatment in estimation. Finding an error was easy, yet it became really difficult when German tried communicating with the author and the journal editors about making corrections. It was difficult to get original data due to privacy reasons, and even after he got data and conducted his own analysis, the journal editor refused to make changes since there was a rule that any request for changes had to be ranked at top 10 percent among other requests in terms of quality. After this example, German continued discussing about other examples when he encountered defensive authors of papers that involve mistakes in estimation. In the end, German emphasized how important it is to make sure the reproducibility and accessibility of the materials used in existing papers, so that science can correct itself successfully over time.",,"99.98,"
"https://medium.com/analytics-vidhya/data-ethics-in-artificial-intelligence-machine-learning-72467b9c70f3

 ","This article summarizes the ways AI and machine learning algorithms could be misused and confused by introducing a few specific examples where unethical elements and biases are present. It also highlights that people should follow the 5Cs principle (Consent, Clarity, Consistency & Trust, Control & Transparency, and Consequences) while collecting data and building algorithms to make the whole system more ethical. 

Besides, the article mentions a checklist of potential questions and concerns data scientists should keep in mind and ask themselves while building algorithms and making decisions. In the end, it is important that the whole machine learning community could create a sense of responsibility among all its participants to avoid ethical or privacy issues. ","It seems ChatGPT is at capacity right now, so I'll just skip the optional question. ","99.51,NA"
https://jezebel.com/what-happens-when-you-tell-the-internet-youre-pregnant-1794398989 ,"This article is about the privacy of consumer data, or lack thereof, with mobile apps, specifically with regards to pregnancy and period tracking apps. The author of the article spoke about her experience downloading many of the mobile apps targeted to pregnant women or women trying to become pregnant to track fertile dates, symptoms, etc. In particular, she speaks about the security and privacy concerns with many of these apps, as these apps often require users to share very sensitive and personal information. Many apps often will pass on their users' information to third-party advertisers or to create targeted ads, or even sign up their users to marketing groups. The author concludes by bringing up the point that in the future there may be a need for laws or regulations to protect people's health information/privacy.","This piece discusses the issue of consumer data privacy in mobile apps, with a focus on pregnancy and period tracking apps. The author recounts their personal experience using such apps and highlights the security and privacy concerns that arise from the sharing of sensitive personal information. They mention that many apps may pass on this information to third-party advertisers or use it to create targeted ads, or sign up users to marketing groups. The author concludes by suggesting that there may be a need for laws or regulations to protect people's health information and privacy in the future.","99.92,91.49"
